task_id,customer_tweet_id,customer_text,historical_brand_reply,assigned_intent,assigned_action,escalation_reason,annotator_id,annotation_status
human_task_011,249975,"So is finally coming to India. Awesome !! Alexa, what do I need to do to get an invite to this ?","We send a limited number of invitations each week to customers, so keep an eye on your inbox.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_012,219168,They have changed more than 3 dates already .,Sorry about the delay. Could you kindly let us know the revised date?,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_013,19216,you don't care about the time of non prime customers !! Really sad to see the bad delivery of Amazon! Still waiting for delivery.,Apologies for the trouble with the delivery of the order. I'd like to take a closer look at this. ^AK (1/3),REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_014,89116,"I specifically called you guys, during my break(11/30), at 845AM.. the lady on the phone got in touch with AND emailed me stating: another redelivery is in place and WILL be there from 5-6PM TODAY!","I'[m sorry for the continued issues. If you would prefer to pick up the package instead, you can contact your local USPS to arrange that they hold it there for you. Likewise, late packages usually show up within 24 hours. Please keep us updated on this.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_015,215906,Typically this seems like it happens with AMZN. But honestly I have no idea or interest. This is what I normally see: https://t.co/5ZEnsEHGwV,"Just to confirm, what was the delivery date provided in your confirmation e-mail? You can check for this information here: https://t.co/3U4pjSRH9V",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_016,179331,not ensuring quality control of items being sold..Any law in place to ensure quality by online sellers..,We apologize for the inconvenience. We've addressed your query here: https://t.co/anRnb8zz1T. Please check it.,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_017,301039,Do you know when I will get contacted as the email said 24 hours,I've requested an update for your account. You should be contacted during regular business hours.,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_018,295900,Already filled formal complaint. Logistic team unable to contact driver directly to determine where package is & arrival time.,We'd like to look into this with you directly. Please provide your contact info here: https://t.co/E2hUUMPnD9,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_019,78851,recharged my Jio using Amazon Pay on 10th Nov with an offer of 99Rs of cashback.Received a message that it will be credited within 7 days.14days down the line still no sight of the cashback. Order ID:405-1642007-6844337. Kindly check,"That's unusual. Please report this to our support team here: https://t.co/vlvfJr4nN9. We'll assist you further. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_020,179668,i tried that and it worked! thank you,"You're welcome, thanks for contacting us!",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_021,77498,ok but this is a link to the UK site and i live in the US,"Apologies for the incorrect link, Hannah. You can get in touch here: https://t.co/hApLpMlfHN",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_022,54397,I hv placed order of Neocate Powder yesterday. I need it urgently. Plz deliver me asap. https://t.co/Re5lufpMeI,per delivery estimates. Request you to wait. (2/2),REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_023,281397,No I initiated stop and return request at the time of cancellation your CC said Amazon pay balance will update in 24 hours,"I'm sorry for the hassle, Shravan. Please provide your details here: https://t.co/GIJyeYqKE0. We will look into it.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_024,95337,"As per https://t.co/Ongr9eOJJm , this feature is not yet supported. When will this work in India?","We do not have any announcement about it yet. However, I'll pass along your comment as a feedback to our team internally for a review.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_025,149261,"That form requires me to sign in, which I can’t with my account locked :(",Please reach out to us again here: https://t.co/zYVX1Qi29G,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_026,136120,Yes been in contact with cust services. Not sure but it seems that it is DPD deliveries. Deliveries seem to be a mess at the moment when usually dependable. I can wait for most things but an item that I needed yesterday didn't turn up which has caused a problem.,What were you advised by the associate?,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_027,234145,NO IT WAS SHIPPED TO ME THE OTHER ADDRESS I TRIED TO PUT IN WAS WIFES.,No worries! Let's see what other options we have to get that order sent back: https://t.co/hApLpMlfHN,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_028,173470,"Everything was listed as Prime and ordered in the normal shipping window. If something requires extra processing time as it is likely to miss out on next day delivery, it shouldn’t really be listed as Prime, should it?","I understand where you're coming from, Andy. We do try to account for processing times when we send your estimated delivery date via e-mail. Here's how these dates are calculated: https://t.co/YGVozH44sU",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_029,244718,It's actually the first time I've had an issue with an order.. I already contacted thr seller to let them know I'm returning it.,"brilliant, did they get back to you with returns info?",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_030,176359,"Okay here's the thing, I preordered a book, specifically Thunderhead (a book) by Neal Shusterman, I preordered on the 10th Nov, it was released the 21st Nov and since then, your site has stated ""out of stock"" and I'm bookless, when I told complained-",'m sorry we've let you down.​ Please keep us updated on your package delivery. We're here to help!,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_031,177398,"I bought an item on Mon. originally to be delivered Wed., jumped to Fri. after checkout, and now got moved all the way to next Wed! Please do something about this; negates paying for Prime. Thanks",I'm sorry for the inconvenience! We'd like to take a closer look at this with you; please reach out to us at your earliest convenience here: https://t.co/hApLpMlfHN,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_032,172282,"I have never had so much trouble with packages getting delivered than I do when uses it's own shipping. can you just go back to using the post office or FedEx, it's ridiculous.","We definitely don't want to let you down! Are you having issues with a recent order. Without providing any account details, will you tell us more about what's going on?",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_033,197659,"Absolutely disgusted with , daughter ordered a laptop that’s not been delivered and they are fobbing her off","I'm sorry for the poor experience, Robin. Have we missed the estimated delivery date given at checkout/in your e-mail?",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_034,12514,"Uff, I am continuously trying to tell you that I have already replied and a 24 hr tat for receiving call was given which​ U have failed on",If you've already replied to the email sent by our team. I'm sure our team will reach out to you soon with an update.,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_035,230135,your customer service sucks.. there is no way i can get in touch with you'll.. #AmazonGreatIndianFestival,"Sorry to know that, you can reach out to us via phone, chat or email using the link here: https://t.co/qWSC0jKBRG.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_036,227922,Well played the prices are increased for both gold and space grey just after my tweet. https://t.co/eZQuasDqFz,Apologies for the trouble you've had while placing the order. 1/2,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_037,180594,I have not received any update.. Please update on the email which is already provided to yoy,Kindly check for the correspondence here: https://t.co/8DAc10S7ww,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_038,134908,Hey can we have the walking dead and big bang theory on Amazon prime? Please bring them on ..,"We don't have an announcement yet. We are working on adding new content to the Amazon Prime Video library. Keep an eye out for the Latest Movies & Latest TV sections on the homepage. Further, I'll pass along your feedback to our team internally.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_039,205767,Just did. My internet is fast. Netflix app is working fine. But not prime video. Why?,We'd like to troubleshoot this with you in real-time. Please contact us here via phone or chat: https://t.co/EKXRLsnxJu,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_040,285143,"Yep of course - was in follow up tweet. https://t.co/gaUmO4CKM6 Disc 9, Track 2 plays Track 1 again instead. :-)","Thanks for confirming! I'm not able to replicate the issue, are you still experiencing it?",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_041,233519,"I have written 4 emails, called 3 times on your customer care and twitted so many times and what I get in response is nothing..nobody is bothered to serve a customer! Pathetic service and support",and they'll help you with further updates. Customer service will not be able to access your account if it's on hold. (2/2),REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_042,311048,i don't know why you put restrictions on adding of money in Amazon pay. Help me to out this my id is __email__,We can't gain access to your account via Twitter. Please connect with us here: https://t.co/00q4Sqj9zL for assistance.,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_043,181076,"Okay , where did you hide tracking numbers? Why do they show up on the app but not the web page? Is this an ""improvement?"" #ItsNot","On the Amazon site, sign in to Your Account>Your Orders and the track package button should be on the right of the item.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_044,226663,"Order placed yesterday evening for Lenovo K8 Note, after some payment issues through Citi Card, Hope it'll be delivered timely.",Sorry for the trouble. The product will be delivered by the estimated delivery date.,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_045,166430,"I made an order on Wednesday and selected One day shipping and the package did not arrive yesterday, and has yet to arrive today.","I'm sorry you haven't received your order as anticipated; we'd like to help. Did you place this order on https://t.co/M7vh84yHYR (.co.uk, .ca)?",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_046,276416,I told the issue 8-10 times but no one able to provide me the solution..,Kindly reply to the correspondence sent by us and we'll get in touch with you soon.,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_047,55035,worst customer support and escalation team. You guys will never change. Always provide wrong information to your clients.,Sorry about the inconvenience. Could you please tell us what went wrong so we can help you?,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_048,150619,just got my trizone 6500 and it has a USA plug but I'm in the UK?,"Hey Alex, most electrical bathroom products sold in the UK are supplied with two-pin plugs as standard.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_049,224212,you don't have reverse pickup on metro City like Kolkata? Brought from #amazon seller Cloudtail and now I am facing this issue.,"return, due to courier constraints, if we are unable to arrange a pick-up, that is when we request you to self return 2/3",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_050,158668,I ordered ponds bb cream which was not the original product similarly few months back I ordered for lakme eyeliner that was also duplicate... No quality assurance at all.. Worst services,"We're sorry to hear that the order delivered didn't meet your expectation. Just to ensure, did you report this to our support team here: https://t.co/rS49hgaADF? Do keep us posted.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
